"week","contractId","contractAddress","creator","global_funder","global_funding","global_owner","estimatedRewards","global_period","global_total","global_initial","period","total"
1,402858,"YUPIH7TVCSUE4LHRXNRCXJG7VNNEEJQG3K3BJNRVNIMHNMIM4AGJUR6ROE","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"W43DONPGM4FYMZWSJJMVSS67ZQ3HIV4R3PUHBXEG2DF7MRJ7DRJZ7RVTUU",,18,3269687,"1541500",,
1,402822,"LDRPQOIJD6IMUXT3XLNPOVC7US62AYPGLK3H2AZPMBVYORQ5CTF4Z3D3CU","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"INQWQP2WU57WEQIWCXJ5FGQE7WKO2TWC5SQHX5MJPULHMQ37ZOXN3GYQFM",,1,8657960,"8644500",,
1,402813,"HDKD6Y2IS7HBPVYMEWG32VWJA54XOJOIZOMIDP336MXGQCTCTQSPVWK2BM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"KA6DTOVZNNRIY567IFUQP2FWWEQC4HAZU3XVYIDEG3VQFQCP5ODBWVTZ4A",,18,2121107,"1000000",,
1,402806,"PPXKWTR7OE7EDQE4IOC4DBIYAVSG2TYBSGVKHDVZIV6JQTVFWEA4BYBE6I","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"BD7RA5R4Y2J5YQXQ2DLXS3HWXIGMRNLR3RNGQHRCCYJ6LHHK5KVYQ6J7TI",,1,300467,"300000",,
1,402744,"S25HHR4YAWDWGIJVKDO5YUSE22CU4LUI5XMFFDU3EYOJAH5SXXOXT2UU4E","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"KSMGUNSX2IWGPZUHU5GPLLD7762T3KUKTPQZXCKNTVMSNZNKQ6RA37AYPI",,18,46566770898,"21953991500",,
1,402679,"A6J3LOYHZXI7HGWOLLZNPMA7HKNFGDRHPEJI6WANAPT44KL2X4U2G6WJT4","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"ESON4H45KBRPKMHI7PA3YTZ66MU33Z23UY422DG4J5NXWCG2V6PUPDZNRM",,13,2461948,"1553500",,
1,402532,"Y7AR5SCVH3RINIDG3DEN7ATIKHI4QGWAWM4SMRKVK6NWHDUTBJ5CNANPN4","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"KSMGUNSX2IWGPZUHU5GPLLD7762T3KUKTPQZXCKNTVMSNZNKQ6RA37AYPI",,18,15748071270,"7424457744",,
1,402502,"U4LDHFTL5JMTEIYHL5K23TBOSJRJWRR6DOBZGR4JDQXUMK3CMBOHN2RFM4","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"KC3S4DPPT4WBHPDYWCSK55RSM42GH7NZKZCCV4AR5ABIRCYGXPDOFP3IQQ",,18,19089965398,"9000000000",,
1,402480,"TRX7BIHAGJMBKLSN5DTZS2BSUGWZHDLYU4LT3BVLZ3WE3FQRWB43KZJYK4","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"GAUWTPBUX7IA4AZRNCHQV6OVWUXN55E6Q2WQD2RPNDWWOARE63YTREQSQU",,1,1001557,"1000000",,
1,402447,"AK42ZU4T6C46G2A5A23ZDAIDALHTSYKGOSM2XDJX43PF7CJ3AZK5H4KEAQ","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"WATASSGXKHXZO5GFBCH6LDFMNMJXRYSRIRCLE2RVK5K5Y3O4ZIGB6QO7FI",,1,150233564,"150000000",,
