Address,Amount,Note
RTKWX3FTDNNIHMAWHK5SDPKH3VRPPW7OS5ZLWN6RFZODF7E22YOBK2OGPE,117440.0646,compensation-adhoc-application
H4F46WCUMJBTVCW7P466RJJBTETOKOQR43YALSWXA5DUPEKWTFGABNBILA,"117440.06",compensation-batch-001-fix-create
4GA6CVGDJHXKXEG4IX5LIHLVI547UK56X7TV5SDVLPXWRDWVLMOFAIKH7E,"50000.00",phase12-extras
NJ2ZL453WEYBOCJQQPEYWANE2WULO2ICOWHQZWOTNL63TXQOMWZYOGPA5Y,"50000.00",phase12-extras
WHNTB6IGOEH52PSQIFVHBKWVHFDCZG2DRTYQ3TVI2DGCECVZWL7MMTBDO4,"50000.00",phase12-extras
CSPIHYASDA5OMAZ4BX6VMZ7IYEZFX3WXSWWK4RA2H4KLSHTISURHRVKD2I,"40132.92",phase12-extras
4GBLBF4UX25F2RQVYNJWSFE6SX4UOWPJTFZP5EDKIEUSDVKTQLGUZWBRIE,"27208.76",phase12-extras
N6AHTV6CXJZSUHU6VBZOT37ATLUIGR3IBBBPQHCFJSH5WOOAJVJDOGPSJM,22259.16203,compensation-adhoc-application
N6AHTV6CXJZSUHU6VBZOT37ATLUIGR3IBBBPQHCFJSH5WOOAJVJDOGPSJM,"22259.16",compensation-batch-001-fix-create
DLDOGORMUQ24SEMVU5DYEV57KCHIO3I4VUT3NHF32DDAYUEZ473F3W5FWE,"19620.54",phase12-extras
PW5CEC44ELLZBZ5KGJJ7WMTD54N2FJIZ2RBQC5IRPKFYZETAKQKKJQG3ZY,"17874.64",phase12-extras
BLBIDUUDUJXHR424SXS2YRDSRLLNKIFLGAH25PSVIVBKDBMLCKP2V7MFR4,"17542.09",phase12-extras
62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,"16793.85",valid-appeal-001
XLPYIBUNNCKPSSFJCNDG5KEPJYOQZWBMPQUCOCHL3EUXKX4E6EHW75ILL4,"13906.70",phase12-extras
P6R326CBOUECOYPDDSMEACF4KCLWXQ5LNKJ3UONIGIZNNOKP5KVACD3TCI,"8994.01",phase12-extras
C4SUISHGS3XW7YPXAXCPOTNISUKABNG5GPGZVXNHRKBEOYDDIO4XJPXHJM,"1757.26",compensation-batch-001-fix-create
DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,1757.257186,compensation-adhoc-application
3COJDBTUW7UNXFY4YPQ5PTFYIT5HE7FUZZSACVHPO7PUIQJV6L2JH7JGLE,856.164384,compensation-adhoc-application
YUODLUC2RXSHKN3MRK4WS32F2AEAVQ6BP7CVOZT6O4K56W6ES72ZY4TEZE,856.164384,compensation-adhoc-application
3COJDBTUW7UNXFY4YPQ5PTFYIT5HE7FUZZSACVHPO7PUIQJV6L2JH7JGLE,856.16,compensation-batch-001-fix-create
YUODLUC2RXSHKN3MRK4WS32F2AEAVQ6BP7CVOZT6O4K56W6ES72ZY4TEZE,856.16,compensation-batch-001-fix-create
M7AEXJL6CPLY5T6WWHEJRWRCMY76P5MZEQSUPXZQGX2JKZT4DYAQVOO6QY,604.64,phase12-extras
RTKWX3FTDNNIHMAWHK5SDPKH3VRPPW7OS5ZLWN6RFZODF7E22YOBK2OGPE,177.700164,compensation-adhoc-application
GO6QE5RH2ETWMBR2RLSWS2WUTOPI24RLE3QU4KOHFISOWL3DSWCPG6RARY,177.70,compensation-batch-001-fix-create
WA5YEJ3HC5WSRJTMCDWA7PJBR2TJAOMS5XNW5QFWTFC7JZ3FRORJDN5LDI,83.14,phase12-extras
