contractId,contractAddress,creator,global_funder,global_funding,global_owner,estimatedRewards,global_period,global_total
297417,ZSRJ54H5BDGCHD6U3MU2HHXR6OB6I4445BZHJIETA7QZHVRRF366EGVDVE,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,VWIUFGXA66DIKUU3FDMOSDUMFVHNI6KHM5ARNIK2BX35446CPC2AMQV7ZI,7.557989,0,0
297410,J4GQ24J2GLWBQ6QAJX63FVIUXTWJQDPZC7AK7WER23HXU2PAKDAP6CBM3M,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,M3MZTTGJJS4I7WTSZBHGPYACQ7SG3ILY63TUG5OM4IADN4WNITKO35KQKE,7.557989,0,0
297403,FPKDOLPSPQMBTEZG33U7726SJMKZH3WHQWS5R344VG2FYTLUKXT2KAAFXE,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,RRT5OOZDFNGASPSDB6O4D5NYKUAYNEKHFIGLU3BD6OPVUA7HQ3E4MO5TU4,7.557989,0,0
297396,65YGBLTNSBEJ6EUSK2I42S6HFR32ZTI3ENW45YSDQR5Y2VGX2JYE24GK3Y,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,HJTR6ZSXDFH2MJ4RB7SETXAJ3K2A5ZFPOGQWGRDIGAL5VJGLLNXXGAH67E,90.695865,0,0
297389,ANLEBSUJXLKI6U36BWJ3GCX76W27VGINZMJCPND6QCANX6FEGTPGYRXP2Y,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,WT2HU2M7OVR4KDWBN77OWZK665XGCNM7OQ6FTNEBBZXCN4KCFV4XGK7PEM,7.557989,0,0
297382,O2S7DOJHLYUMVHB2HUTMQVBKREXDG5DKB666NDR2S56I6YQEVTFJRBY3D4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,25F3U2K6GZQODS6MPALEMGQ52MPH3MUVP6YMYY52XMJSQYHEAUQNJKOGUU,7.557989,0,0
297375,FXMIVFESCYP5TRXUMCVHR35Y27GR7VUKSUTNNLU7C4FEHJYG6CJRXDWEPU,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,IBPPXAN3HOP7W7UYXZJ6MWU5A54NCEZ63KETN7DJUNPMWGSRWRPA45TYZE,7.557989,0,0
297368,DS45IWZQNWYBKCXSSQT2HLOQ4JNEMMYGY5GXM3QOXDD75H6CPX3IENZMKQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,SAB3534HIYCGMQABTLOOMWNBAGDP5J23OXEI4UIH6HNBWAU6DMQUMSG334,15.115978,0,0
297347,5ICNOWY6CQJ23MW72RMBIJUN653QQBFBYJ7F4VIFXSFEPFIUABUIR5YPEE,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,PXDO3GVZY4VEOQCJDT2L667VRAIYGFFEMOZVO2V6OQOKYMJ4WIALVPMDHE,50000,5,0
297333,U3MCALLXJH57W4GBOKJVBRTUXR5SXSBSSJTOCF5NYKYQXFMCM27DGL2WSY,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,7UZSOW3VDNFUFMDH2HYK4K5VNYLYJGKL3USVEJSQ3KX5Y72BHC7QJGHJKQ,483.711282,0,0
